Wallet;Balance;Type
0x59747f07D732AcEd498Ed24817585f332A617Dc8;"61231,37307";wallet
0x5Ff3ED27674826acE64D3Fa8354605943827f4a0;"61159,37005";wallet
0xaf597902552911960DbB6A1Dd38C7579b64E959e;"60771,84285";wallet
0x00c31cE2b29aA7a965f6f7e3554BBD515aD3a61d;"60767,6994";wallet
0x0B80a98BCD7C73613E95344cA03c268eC0F51828;"60746,38056";wallet
0x8d99C04eDe67EF5c2936215f95Af1A11045EA298;"60171,2894";wallet
0x61CB4690F680CE90cFeDF1642fBaD5df3219B057;"60067,27735";wallet
0x37f4D1b416817A4ca4eF12E7a74499C6f5bc1A7e;"59976,35773";wallet
0xCDF93903f6f02e737Ae1F82Bf98181e1aB47A621;"59898,15823";wallet
0xfF0fF5103498Fc969A3B7b9dB958A2072DeFFD80;"59808,43085";wallet
0x5B2f2eDBF412172C77c17c620E0a367E8838f249;"59422,34892";wallet
0x9B5Fcf07b93EFe5aE6E112c397325922c6937cDE;"59087,98628";wallet
0x8Ee084710c60D2C303187921CCc0660114867007;"59047,16454";wallet
0xF93e6c16EA54851E3d900caF36fa0B5c40a6B0f3;"57746,17632";wallet
0xbf1fC1cb0a8DB63f7E9db94E7f7736af78a6b3a9;"57563,00452";wallet
0xEf7Effb035C40Db5811e70BF5f1e1832715A826F;"57302,04254";wallet
0x9B14B15CD25997A8980fd4CD2266562bB02763DE;"57274,78517";wallet
0x0138fF5dF2Ba0560d3E6CC52e938A076BFcB6d23;"57166,30493";wallet
0x9A399a8069f372beE644810EE24D1c7dF440fa29;"56967,31247";wallet
0x3a7AF82433C1e26b75D6cc8c6ee7a5758b9128B4;"56824,92832";wallet
0xB501e1c99030c9E4b93d17dCc4ce032911CB2b46;"56596,58983";wallet
0xa6DAC9Ff809A3694Ca9a615a10774f2abF0F50d3;"56528,86238";wallet
0xfd12ED7a731F79990493A0afd711A1D0ccA8125d;"55911,4817";wallet
0x6Cb824134110Bdfd3B4f67C6135Bf47A9AF29C68;"55135,98393";wallet
0xb1e04Acfb6bE905e31434ce0Fc85C05BE818502B;"54902,80181";wallet
0xfFC353f1BA0B3C334337335fB5E0E7d7506922Bc;"54563,2464";wallet
0x0dce54A4B239A01F7e835593895752F2E9d2B94e;"54453,57242";wallet
0xD0636D9B90B0Be1B3aa6BCDA1B206B5781970C75;"54341,4026";wallet
0xE5fF0c0141a437e70C0EeE224322Ca9Cc4cC1257;"53807,16779";wallet
0x798B65C5C3939dD4fA8a290410B13DF340F5f492;"53494,76401";wallet
0xF8AF6311a96660F95A89Fa6A72a338733943D1ba;"53100,78074";wallet
0x9E6DB0A0070263DAc405c51019c11B7EEa030B15;"53087,61051";wallet
0x00f6570D8fA6924529555626b831794290D90AeC;"52999,75284";wallet
0xA9787ee17A8351a00Eed9F82Af606d733615F3D7;"52926,66921";wallet
0xeec9424a2D8Fb83Dc80073F3E0DfEBe76E69E930;"52598,74478";wallet
0x6e18F6D69e1a36d4F0334ca7716fB92F8C23701D;"52438,06796";wallet
0x0383e10Fd432D6eaf2f2FA93a244Aa7aEddcd970;"52052,57222";wallet
0x29FCACcd7523999DE4FfcD590fd2Cc8B76ABcA43;"51693,91642";wallet
0x6e25e932240078776394407C8b8beDB1840f9B87;"51334,1128";wallet
0x4464534A7490870940717CD7Ff1825EaB0F6087D;"51310,21984";wallet
0xBbb643e79f85fa320e5087EEbF9E0Fa7fF006949;"50947,76852";wallet
0x26f50EECa7891f59d5962E860bc0629E5473f236;"50897,66389";wallet
0xF69946BeA5709A69C6C03b826Ee6057C861e0FCd;"50632,94687";wallet
0x493f299FD97A2733B6EF289Aea90d750f395A0B6;"50616,83153";wallet
0x355ebDbA01196e0D20A27F221035BE5C590a97Da;"50364,1215";wallet
0x6DCD4b65FDf035a275894c8D3dde1CF5607098d9;"50182,11042";wallet
0xA1f5655bb5d43670fe2315D8d45d656cEC9Cf688;50000;wallet
0xE56cC0C220F8c3f535933D6a1354f50F30167528;"49831,90288";wallet
0x95F659C0e9A559A91F8b3FA12750b8FF41Df25f5;"49829,77549";wallet
0x471c6dbBdCDFbD4D04aa5e2FA2BBF99610982602;"49338,78721";wallet
0xb79E9BDCDF84d655c2Df86B64A82B22F8C9300CC;"48855,8896";wallet
0xbea61064e3f72a6aFFb5e59d0eb8729E22EDcFDC;"48826,85614";wallet
0x34735C552D8B5410D3579D93B06dFB28C648d29D;"48561,54862";wallet
0xf38fd9c31687375da072F12CB9609c35040e48d0;"48514,20489";wallet
0x7BDF68638cE5B8EDBFBC36e8a744BAcbeAA41319;"48312,34654";wallet
